Query,Expected_Doc,Top1_Correct,Top5_Correct,Expected_Rank,Search_Time,Top1_Doc,Top1_Score
Cómo alto a un paciente paliativo con hospitalización a domicilio?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,True,True,1,19.7034,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.1267
Quien gestiona el ingreso al centro de atención intermedia en situación de final de vida?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,False,False,393,24.9910,Gestio de pacients confinats_limpio,0.1220
Que escalas debo pasar en la valoración integral de una paciente con patología oncológica ginecologi,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,False,False,19,26.5590,Cateter central dinsercio periferica PICC en el nounat_limpio,0.1229
A quien debo hacer interconsulta en caso de paciente de onco gine?,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,True,True,1,24.0130,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio,0.1267
"Quien debe aprobar que se de una prestación fuera del siscat, de carácter excepcional?",Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,False,False,253,24.8871,Gestio de procediments normalitzats de treball PNT a la Inther Unit_limpio,0.1208
Dame el link de acceso al CASCIPE,Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,False,False,407,19.9725,Cateter central dinsercio periferica PICC en el nounat_limpio,0.1294
Quien realiza la acogida en situación de pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,True,True,1,20.9238,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio,0.3077
Que variables clínicas se cogen en caso de acogida de paciente en pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,False,False,24,23.9665,Aturada cardiorespiratoria intrahospitalaria_limpio,0.1266
Con quien debo coordinar la medicación a administrar cuando un paciente entra en el CDI?,Acollida i atencio integral al pacient en el CDI_limpio.txt,False,False,400,23.2447,Aturada cardiorespiratoria intrahospitalaria_limpio,0.1201
"En paciente con DAI en radiología, hay que llevar el desfribilador?",Acollida i atencio integral al pacient en el CDI_limpio.txt,False,False,157,13.0306,Drenatges abdominals_limpio,0.1205
