Query,Expected_Doc,Top1_Correct,Top5_Correct,Expected_Rank,Search_Time,Top1_Doc,Top1_Score,Keywords_Found,Total_Matches,Unique_Keywords
Cómo alto a un paciente paliativo con hospitalización a domicilio?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,False,True,4,0.0896,Cateterisme periferic de linia mitja o midline_limpio,0.8391,1,1,1
Quien gestiona el ingreso al centro de atención intermedia en situación de final de vida?,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio.txt,False,True,4,0.1097,Codi final de vida a Urgencies Intervencio de Treball Social_limpio,8.7711,2,19,2
Que escalas debo pasar en la valoración integral de una paciente con patología oncológica ginecologi,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,False,False,167,0.1781,Crisi Comicial_limpio,10.4492,2,23,2
A quien debo hacer interconsulta en caso de paciente de onco gine?,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio.txt,True,True,1,0.0908,Abordatge integral de la dona amb cancer ginecologic en tractament sistemic_limpio,1.7172,1,3,1
"Quien debe aprobar que se de una prestación fuera del siscat, de carácter excepcional?",Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,False,False,19,0.1790,Carreto daturada cardiorespiratoria a la Seu Granollers revisio periodica de lestoc i desfibrillador_limpio,15.6557,3,35,3
Dame el link de acceso al CASCIPE,Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio.txt,True,True,1,0.0481,Acces a lassistencia sanitaria per a convenis internacionals i prestacions de caracter excepcional CASCIPE_limpio,3.6217,1,7,1
Quien realiza la acogida en situación de pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,False,False,10,0.0600,Abordatge del pacient en situacio de final de vida ingressat al Dispositiu dHospitalitzacio a Domicili HDOM_limpio,0.0000,0,0,0
Que variables clínicas se cogen en caso de acogida de paciente en pandemia?,Acollida electiva del pacient a la unitat dhospitalitzacio en situacio de pandemia_limpio.txt,False,False,37,0.1188,Alta infermeria_limpio,8.3031,1,18,1
Con quien debo coordinar la medicación a administrar cuando un paciente entra en el CDI?,Acollida i atencio integral al pacient en el CDI_limpio.txt,True,True,1,0.1366,Acollida i atencio integral al pacient en el CDI_limpio,4.1562,2,8,2
"En paciente con DAI en radiología, hay que llevar el desfribilador?",Acollida i atencio integral al pacient en el CDI_limpio.txt,False,False,36,0.1161,Alta infermeria_limpio,8.3031,1,18,1
Que debo hacer en una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,False,False,9,0.1207,Crisi Comicial_limpio,13.5906,3,30,3
Cuanto tiempo debe estar monitorizado tras una crisis tonico-clónica?,Actuacio davant una crisi epileptica generalitzada tonicoclonica a la unitat depilepsia_limpio.txt,False,False,6,0.1382,Crisi Comicial_limpio,8.2214,3,17,3
Busca de la matrona senior de la mater,Actuacio en situacions demergencia obstetrica seu Maternitat circuit de trucades interdisciplinars davis_limpio.txt,False,False,53,0.0513,Alta del pacient trasplantat hepatic_limpio,3.0344,1,6,1
